date,game,score,league,season,game_id,home,away,score_home,actual,predicted,prob_home,prob_draw,prob_away,correct,odds_1,odds_X,odds_2,odds_outcome,return
2020-03-04,Almtuna IS  - Kristianstads IK,4 - 0,allsvenskan,2019/20,441620,Almtuna IS,Kristianstads IK,4,home,home,0.44,0.37,0.19,1,2.1,4.1,2.97,2.1,2.1
2020-03-04,Timrå IK  - IF Björklöven,3 - 4,allsvenskan,2019/20,441621,Timrå IK,IF Björklöven,3,away,home,0.5,0.12,0.38,0,1.83,4.7,3.45,3.45,-1.0
2020-03-04,Mora IK  - Västerviks IK,2 - 3,allsvenskan,2019/20,441622,Mora IK,Västerviks IK,2,away,home,0.53,0.22,0.25,0,1.81,4.3,3.6,3.6,-1.0
2020-03-04,Södertälje SK  - AIK,4 - 1,allsvenskan,2019/20,441623,Södertälje SK,AIK,4,home,home,0.61,0.19,0.2,1,,,,,
2020-03-04,Karlskrona HK  - BIK Karlskoga,1 - 2,allsvenskan,2019/20,441624,Karlskrona HK,BIK Karlskoga,1,away,home,0.44,0.27,0.29,0,2.75,4.45,2.12,2.12,-1.0
2020-03-04,MODO Hockey  - Tingsryds AIF,6 - 1,allsvenskan,2019/20,441625,MODO Hockey,Tingsryds AIF,6,home,home,0.64,0.24,0.12,1,1.38,5.2,6.75,1.38,1.38
2020-03-06,HC Vita Hästen  - Almtuna IS,4 - 0,allsvenskan,2019/20,441626,HC Vita Hästen,Almtuna IS,4,home,home,0.57,0.26,0.17,1,1.44,5.05,5.95,1.44,1.44
2020-03-06,Kristianstads IK  - Timrå IK,3 - 4,allsvenskan,2019/20,441627,Kristianstads IK,Timrå IK,3,draw,away,0.18,0.12,0.7,0,5.55,5.2,1.45,5.2,-1.0
2020-03-06,BIK Karlskoga  - MODO Hockey,2 - 4,allsvenskan,2019/20,441628,BIK Karlskoga,MODO Hockey,2,away,home,0.49,0.14,0.37,0,3.1,4.05,2.03,2.03,-1.0
2020-03-06,IF Björklöven  - Mora IK,6 - 4,allsvenskan,2019/20,441629,IF Björklöven,Mora IK,6,home,home,0.56,0.22,0.22,1,1.46,5.5,5.05,1.46,1.46
2020-03-06,Västerviks IK  - Södertälje SK,3 - 0,allsvenskan,2019/20,441630,Västerviks IK,Södertälje SK,3,home,home,0.54,0.23,0.23,1,2.85,4.05,2.17,2.85,2.85
2020-03-06,AIK  - Karlskrona HK,4 - 0,allsvenskan,2019/20,441631,AIK,Karlskrona HK,4,home,away,0.35,0.15,0.5,0,2.21,4.2,2.7,2.21,-1.0
2020-03-06,Tingsryds AIF  - Västerås IK,2 - 4,allsvenskan,2019/20,441632,Tingsryds AIF,Västerås IK,2,away,away,0.37,0.23,0.4,1,2.58,4.15,2.3,2.3,2.3
